"Year of diagnosis","Age recode with <1 year olds and 90+","Sex","Age-Adjusted Rate","Count","Population"
2000-2023,00 years,Male and female,0.0,0,25699738
2000-2023,00 years,Male,0.0,0,13143313
2000-2023,00 years,Female,0.0,0,12556425
2000-2023,01-04 years,Male and female,0.0,0,103526874
2000-2023,01-04 years,Male,0.0,0,52933060
2000-2023,01-04 years,Female,0.0,0,50593814
2000-2023,05-09 years,Male and female,0.0,0,132001597
2000-2023,05-09 years,Male,0.0,0,67498205
2000-2023,05-09 years,Female,0.0,0,64503392
2000-2023,10-14 years,Male and female,0.0,2,138033890
2000-2023,10-14 years,Male,0.0,2,70651168
2000-2023,10-14 years,Female,0.0,0,67382722
2000-2023,15-19 years,Male and female,0.0,9,138444949
2000-2023,15-19 years,Male,0.0,4,71104265
2000-2023,15-19 years,Female,0.0,5,67340684
2000-2023,20-24 years,Male and female,0.0,41,138981475
2000-2023,20-24 years,Male,0.0,24,71583470
2000-2023,20-24 years,Female,0.0,17,67398005
2000-2023,25-29 years,Male and female,0.1,123,139760066
2000-2023,25-29 years,Male,0.1,72,71196763
2000-2023,25-29 years,Female,0.1,51,68563303
2000-2023,30-34 years,Male and female,0.2,238,139912110
2000-2023,30-34 years,Male,0.2,112,70806648
2000-2023,30-34 years,Female,0.2,126,69105462
2000-2023,35-39 years,Male and female,0.3,403,139395069
2000-2023,35-39 years,Male,0.3,188,70134319
2000-2023,35-39 years,Female,0.3,215,69260750
2000-2023,40-44 years,Male and female,0.4,606,138900782
2000-2023,40-44 years,Male,0.4,286,69414696
2000-2023,40-44 years,Female,0.5,320,69486086
2000-2023,45-49 years,Male and female,0.7,930,136718223
2000-2023,45-49 years,Male,0.6,415,67966748
2000-2023,45-49 years,Female,0.7,515,68751475
2000-2023,50-54 years,Male and female,1.0,1284,132127383
2000-2023,50-54 years,Male,0.8,554,65280574
2000-2023,50-54 years,Female,1.1,730,66846809
2000-2023,55-59 years,Male and female,1.2,1401,120537452
2000-2023,55-59 years,Male,1.1,643,58933892
2000-2023,55-59 years,Female,1.2,758,61603560
2000-2023,60-64 years,Male and female,1.5,1505,102321498
2000-2023,60-64 years,Male,1.4,706,49342403
2000-2023,60-64 years,Female,1.5,799,52979095
2000-2023,65-69 years,Male and female,1.7,1417,82159473
2000-2023,65-69 years,Male,1.7,667,38746623
2000-2023,65-69 years,Female,1.7,750,43412850
2000-2023,70-74 years,Male and female,2.0,1246,63853230
2000-2023,70-74 years,Male,2.1,604,29183125
2000-2023,70-74 years,Female,1.9,642,34670105
2000-2023,75-79 years,Male and female,2.1,993,47728720
2000-2023,75-79 years,Male,2.3,488,20808693
2000-2023,75-79 years,Female,1.9,505,26920027
2000-2023,80-84 years,Male and female,1.9,639,33691061
2000-2023,80-84 years,Male,2.2,297,13660693
2000-2023,80-84 years,Female,1.7,342,20030368
2000-2023,85-89 years,Male and female,1.5,310,20226107
2000-2023,85-89 years,Male,2.0,147,7360918
2000-2023,85-89 years,Female,1.3,163,12865189
2000-2023,90+ years,Male and female,1.1,137,11973281
2000-2023,90+ years,Male,1.6,58,3567928
2000-2023,90+ years,Female,0.9,79,8405353
2000-2023,Unknown,Male and female,~,0,0
2000-2023,Unknown,Male,~,0,0
2000-2023,Unknown,Female,~,0,0
2000,00 years,Male and female,0.0,0,1067776
2000,00 years,Male,0.0,0,547071
2000,00 years,Female,0.0,0,520705
2000,01-04 years,Male and female,0.0,0,4266382
2000,01-04 years,Male,0.0,0,2181851
2000,01-04 years,Female,0.0,0,2084531
2000,05-09 years,Male and female,0.0,0,5700897
2000,05-09 years,Male,0.0,0,2920189
2000,05-09 years,Female,0.0,0,2780708
2000,10-14 years,Male and female,0.0,0,5603550
2000,10-14 years,Male,0.0,0,2871218
2000,10-14 years,Female,0.0,0,2732332
2000,15-19 years,Male and female,0.0,1,5423634
2000,15-19 years,Male,0.0,1,2798779
2000,15-19 years,Female,0.0,0,2624855
2000,20-24 years,Male and female,0.0,2,5197868
2000,20-24 years,Male,0.0,1,2683363
2000,20-24 years,Female,0.0,1,2514505
2000,25-29 years,Male and female,0.1,4,5339196
2000,25-29 years,Male,0.1,2,2723170
2000,25-29 years,Female,0.1,2,2616026
2000,30-34 years,Male and female,0.1,4,5702177
2000,30-34 years,Male,0.0,0,2893335
2000,30-34 years,Female,0.1,4,2808842
2000,35-39 years,Male and female,0.1,7,6146055
2000,35-39 years,Male,0.1,3,3084987
2000,35-39 years,Female,0.1,4,3061068
2000,40-44 years,Male and female,0.3,17,5982564
2000,40-44 years,Male,0.3,10,2979952
2000,40-44 years,Female,0.2,7,3002612
2000,45-49 years,Male and female,0.4,19,5300905
2000,45-49 years,Male,0.4,11,2610812
2000,45-49 years,Female,0.3,8,2690093
2000,50-54 years,Male and female,0.8,35,4626098
2000,50-54 years,Male,0.4,8,2263938
2000,50-54 years,Female,1.1,27,2362160
2000,55-59 years,Male and female,0.6,21,3447696
2000,55-59 years,Male,0.7,11,1671952
2000,55-59 years,Female,0.6,10,1775744
2000,60-64 years,Male and female,1.0,27,2691241
2000,60-64 years,Male,0.9,11,1282511
2000,60-64 years,Female,1.1,16,1408730
2000,65-69 years,Male and female,1.0,23,2310517
2000,65-69 years,Male,1.2,13,1066429
2000,65-69 years,Female,0.8,10,1244088
2000,70-74 years,Male and female,1.4,29,2122158
2000,70-74 years,Male,1.4,13,932680
2000,70-74 years,Female,1.3,16,1189478
2000,75-79 years,Male and female,1.7,31,1803814
2000,75-79 years,Male,1.9,14,744241
2000,75-79 years,Female,1.6,17,1059573
2000,80-84 years,Male and female,0.9,11,1199627
2000,80-84 years,Male,1.3,6,453265
2000,80-84 years,Female,0.7,5,746362
2000,85-89 years,Male and female,1.0,7,672100
2000,85-89 years,Male,1.8,4,217314
2000,85-89 years,Female,0.7,3,454786
2000,90+ years,Male and female,1.1,4,348292
2000,90+ years,Male,1.1,1,87588
2000,90+ years,Female,1.2,3,260704
2000,Unknown,Male and female,~,0,0
2000,Unknown,Male,~,0,0
2000,Unknown,Female,~,0,0
2001,00 years,Male and female,0.0,0,1116321
2001,00 years,Male,0.0,0,570958
2001,00 years,Female,0.0,0,545363
2001,01-04 years,Male and female,0.0,0,4236952
2001,01-04 years,Male,0.0,0,2167200
2001,01-04 years,Female,0.0,0,2069752
2001,05-09 years,Male and female,0.0,0,5616969
2001,05-09 years,Male,0.0,0,2876395
2001,05-09 years,Female,0.0,0,2740574
2001,10-14 years,Male and female,0.0,0,5727913
2001,10-14 years,Male,0.0,0,2934760
2001,10-14 years,Female,0.0,0,2793153
2001,15-19 years,Male and female,0.0,0,5464048
2001,15-19 years,Male,0.0,0,2827042
2001,15-19 years,Female,0.0,0,2637006
2001,20-24 years,Male and female,0.0,2,5387509
2001,20-24 years,Male,0.0,0,2778704
2001,20-24 years,Female,0.1,2,2608805
2001,25-29 years,Male and female,0.0,1,5239280
2001,25-29 years,Male,0.0,1,2672231
2001,25-29 years,Female,0.0,0,2567049
2001,30-34 years,Male and female,0.2,12,5744207
2001,30-34 years,Male,0.2,7,2912283
2001,30-34 years,Female,0.2,5,2831924
2001,35-39 years,Male and female,0.1,7,6061657
2001,35-39 years,Male,0.1,3,3045737
2001,35-39 years,Female,0.1,4,3015920
2001,40-44 years,Male and female,0.3,20,6072082
2001,40-44 years,Male,0.2,5,3026049
2001,40-44 years,Female,0.5,15,3046033
2001,45-49 years,Male and female,0.6,32,5436954
2001,45-49 years,Male,0.5,14,2681009
2001,45-49 years,Female,0.7,18,2755945
2001,50-54 years,Male and female,0.8,40,4852495
2001,50-54 years,Male,1.1,25,2374166
2001,50-54 years,Female,0.6,15,2478329
2001,55-59 years,Male and female,0.8,27,3571859
2001,55-59 years,Male,0.5,8,1731630
2001,55-59 years,Female,1.0,19,1840229
2001,60-64 years,Male and female,1.2,32,2767408
2001,60-64 years,Male,1.0,13,1320134
2001,60-64 years,Female,1.3,19,1447274
2001,65-69 years,Male and female,1.1,26,2323772
2001,65-69 years,Male,1.4,15,1074545
2001,65-69 years,Female,0.9,11,1249227
2001,70-74 years,Male and female,1.5,31,2115746
2001,70-74 years,Male,2.0,19,935803
2001,70-74 years,Female,1.0,12,1179943
2001,75-79 years,Male and female,1.4,26,1806529
2001,75-79 years,Male,1.9,14,746567
2001,75-79 years,Female,1.1,12,1059962
2001,80-84 years,Male and female,1.9,24,1244840
2001,80-84 years,Male,1.7,8,473823
2001,80-84 years,Female,2.1,16,771017
2001,85-89 years,Male and female,1.3,9,682997
2001,85-89 years,Male,0.0,0,222653
2001,85-89 years,Female,2.0,9,460344
2001,90+ years,Male and female,0.6,2,354116
2001,90+ years,Male,1.1,1,90189
2001,90+ years,Female,0.4,1,263927
2001,Unknown,Male and female,~,0,0
2001,Unknown,Male,~,0,0
2001,Unknown,Female,~,0,0
2002,00 years,Male and female,0.0,0,1100637
2002,00 years,Male,0.0,0,561946
2002,00 years,Female,0.0,0,538691
2002,01-04 years,Male and female,0.0,0,4278611
2002,01-04 years,Male,0.0,0,2188445
2002,01-04 years,Female,0.0,0,2090166
2002,05-09 years,Male and female,0.0,0,5521742
2002,05-09 years,Male,0.0,0,2827378
2002,05-09 years,Female,0.0,0,2694364
2002,10-14 years,Male and female,0.0,0,5834011
2002,10-14 years,Male,0.0,0,2988174
2002,10-14 years,Female,0.0,0,2845837
2002,15-19 years,Male and female,0.0,0,5508918
2002,15-19 years,Male,0.0,0,2850052
2002,15-19 years,Female,0.0,0,2658866
2002,20-24 years,Male and female,0.0,0,5523290
2002,20-24 years,Male,0.0,0,2846225
2002,20-24 years,Female,0.0,0,2677065
2002,25-29 years,Male and female,0.0,2,5211942
2002,25-29 years,Male,0.0,1,2654149
2002,25-29 years,Female,0.0,1,2557793
2002,30-34 years,Male and female,0.1,7,5741098
2002,30-34 years,Male,0.2,5,2908534
2002,30-34 years,Female,0.1,2,2832564
2002,35-39 years,Male and female,0.3,17,5949141
2002,35-39 years,Male,0.1,4,2986523
2002,35-39 years,Female,0.4,13,2962618
2002,40-44 years,Male and female,0.4,24,6109942
2002,40-44 years,Male,0.4,12,3045748
2002,40-44 years,Female,0.4,12,3064194
2002,45-49 years,Male and female,0.5,28,5592395
2002,45-49 years,Male,0.5,15,2760031
2002,45-49 years,Female,0.5,13,2832364
2002,50-54 years,Male and female,0.6,28,4869644
2002,50-54 years,Male,0.4,9,2381955
2002,50-54 years,Female,0.8,19,2487689
2002,55-59 years,Male and female,0.9,36,3880853
2002,55-59 years,Male,1.0,18,1882943
2002,55-59 years,Female,0.9,18,1997910
2002,60-64 years,Male and female,0.9,26,2875444
2002,60-64 years,Male,1.0,14,1373030
2002,60-64 years,Female,0.8,12,1502414
2002,65-69 years,Male and female,1.0,24,2347778
2002,65-69 years,Male,0.9,10,1087783
2002,65-69 years,Female,1.1,14,1259995
2002,70-74 years,Male and female,1.2,25,2102604
2002,70-74 years,Male,1.3,12,934983
2002,70-74 years,Female,1.1,13,1167621
2002,75-79 years,Male and female,1.8,33,1805756
2002,75-79 years,Male,1.3,10,747989
2002,75-79 years,Female,2.2,23,1057767
2002,80-84 years,Male and female,1.4,18,1288528
2002,80-84 years,Male,1.4,7,493788
2002,80-84 years,Female,1.4,11,794740
2002,85-89 years,Male and female,1.3,9,694876
2002,85-89 years,Male,1.3,3,228670
2002,85-89 years,Female,1.3,6,466206
2002,90+ years,Male and female,1.1,4,360286
2002,90+ years,Male,3.2,3,92998
2002,90+ years,Female,0.4,1,267288
2002,Unknown,Male and female,~,0,0
2002,Unknown,Male,~,0,0
2002,Unknown,Female,~,0,0
2003,00 years,Male and female,0.0,0,1113922
2003,00 years,Male,0.0,0,569936
2003,00 years,Female,0.0,0,543986
2003,01-04 years,Male and female,0.0,0,4319305
2003,01-04 years,Male,0.0,0,2208037
2003,01-04 years,Female,0.0,0,2111268
2003,05-09 years,Male and female,0.0,0,5435020
2003,05-09 years,Male,0.0,0,2780911
2003,05-09 years,Female,0.0,0,2654109
2003,10-14 years,Male and female,0.0,0,5900465
2003,10-14 years,Male,0.0,0,3022879
2003,10-14 years,Female,0.0,0,2877586
2003,15-19 years,Male and female,0.0,0,5570472
2003,15-19 years,Male,0.0,0,2876159
2003,15-19 years,Female,0.0,0,2694313
2003,20-24 years,Male and female,0.0,0,5604106
2003,20-24 years,Male,0.0,0,2879492
2003,20-24 years,Female,0.0,0,2724614
2003,25-29 years,Male and female,0.1,4,5232688
2003,25-29 years,Male,0.1,3,2657346
2003,25-29 years,Female,0.0,1,2575342
2003,30-34 years,Male and female,0.1,6,5683975
2003,30-34 years,Male,0.1,3,2871980
2003,30-34 years,Female,0.1,3,2811995
2003,35-39 years,Male and female,0.2,12,5841252
2003,35-39 years,Male,0.2,6,2929928
2003,35-39 years,Female,0.2,6,2911324
2003,40-44 years,Male and female,0.4,23,6130215
2003,40-44 years,Male,0.4,12,3052085
2003,40-44 years,Female,0.4,11,3078130
2003,45-49 years,Male and female,0.6,34,5723662
2003,45-49 years,Male,0.6,16,2828607
2003,45-49 years,Female,0.6,18,2895055
2003,50-54 years,Male and female,0.7,34,4967509
2003,50-54 years,Male,0.7,16,2428687
2003,50-54 years,Female,0.7,18,2538822
2003,55-59 years,Male and female,1.0,42,4063899
2003,55-59 years,Male,0.9,17,1971778
2003,55-59 years,Female,1.2,25,2092121
2003,60-64 years,Male and female,0.8,25,3037531
2003,60-64 years,Male,0.4,6,1451802
2003,60-64 years,Female,1.2,19,1585729
2003,65-69 years,Male and female,1.3,31,2400502
2003,65-69 years,Male,1.3,15,1114911
2003,65-69 years,Female,1.2,16,1285591
2003,70-74 years,Male and female,1.2,25,2090247
2003,70-74 years,Male,1.5,14,933188
2003,70-74 years,Female,1.0,11,1157059
2003,75-79 years,Male and female,1.7,31,1806245
2003,75-79 years,Male,2.8,21,751418
2003,75-79 years,Female,0.9,10,1054827
2003,80-84 years,Male and female,1.8,24,1320390
2003,80-84 years,Male,2.8,14,508081
2003,80-84 years,Female,1.2,10,812309
2003,85-89 years,Male and female,1.4,10,712838
2003,85-89 years,Male,1.7,4,237622
2003,85-89 years,Female,1.3,6,475216
2003,90+ years,Male and female,1.6,6,369719
2003,90+ years,Male,1.0,1,96985
2003,90+ years,Female,1.8,5,272734
2003,Unknown,Male and female,~,0,0
2003,Unknown,Male,~,0,0
2003,Unknown,Female,~,0,0
2004,00 years,Male and female,0.0,0,1119875
2004,00 years,Male,0.0,0,571459
2004,00 years,Female,0.0,0,548416
2004,01-04 years,Male and female,0.0,0,4366827
2004,01-04 years,Male,0.0,0,2232227
2004,01-04 years,Female,0.0,0,2134600
2004,05-09 years,Male and female,0.0,0,5363003
2004,05-09 years,Male,0.0,0,2742385
2004,05-09 years,Female,0.0,0,2620618
2004,10-14 years,Male and female,0.0,0,5913986
2004,10-14 years,Male,0.0,0,3030308
2004,10-14 years,Female,0.0,0,2883678
2004,15-19 years,Male and female,0.0,2,5665465
2004,15-19 years,Male,0.0,1,2922969
2004,15-19 years,Female,0.0,1,2742496
2004,20-24 years,Male and female,0.0,0,5672770
2004,20-24 years,Male,0.0,0,2924688
2004,20-24 years,Female,0.0,0,2748082
2004,25-29 years,Male and female,0.1,4,5321924
2004,25-29 years,Male,0.1,2,2700542
2004,25-29 years,Female,0.1,2,2621382
2004,30-34 years,Male and female,0.1,6,5595077
2004,30-34 years,Male,0.1,3,2826330
2004,30-34 years,Female,0.1,3,2768747
2004,35-39 years,Male and female,0.2,10,5753437
2004,35-39 years,Male,0.2,5,2888262
2004,35-39 years,Female,0.2,5,2865175
2004,40-44 years,Male and female,0.3,19,6156729
2004,40-44 years,Male,0.3,10,3065488
2004,40-44 years,Female,0.3,9,3091241
2004,45-49 years,Male and female,0.5,27,5812541
2004,45-49 years,Male,0.4,11,2874878
2004,45-49 years,Female,0.5,16,2937663
2004,50-54 years,Male and female,0.6,32,5090405
2004,50-54 years,Male,0.5,12,2490915
2004,50-54 years,Female,0.8,20,2599490
2004,55-59 years,Male and female,0.8,35,4265573
2004,55-59 years,Male,0.8,16,2068355
2004,55-59 years,Female,0.9,19,2197218
2004,60-64 years,Male and female,1.1,34,3164725
2004,60-64 years,Male,0.5,8,1512529
2004,60-64 years,Female,1.6,26,1652196
2004,65-69 years,Male and female,1.0,25,2457852
2004,65-69 years,Male,1.0,11,1144988
2004,65-69 years,Female,1.1,14,1312864
2004,70-74 years,Male and female,1.4,29,2076500
2004,70-74 years,Male,1.3,12,929369
2004,70-74 years,Female,1.5,17,1147131
2004,75-79 years,Male and female,1.5,27,1792060
2004,75-79 years,Male,1.7,13,749797
2004,75-79 years,Female,1.3,14,1042263
2004,80-84 years,Male and female,1.3,17,1352666
2004,80-84 years,Male,1.9,10,522543
2004,80-84 years,Female,0.8,7,830123
2004,85-89 years,Male and female,1.0,7,725295
2004,85-89 years,Male,2.0,5,244241
2004,85-89 years,Female,0.4,2,481054
2004,90+ years,Male and female,1.1,4,377815
2004,90+ years,Male,1.0,1,100668
2004,90+ years,Female,1.1,3,277147
2004,Unknown,Male and female,~,0,0
2004,Unknown,Male,~,0,0
2004,Unknown,Female,~,0,0
2005,00 years,Male and female,0.0,0,1113285
2005,00 years,Male,0.0,0,569367
2005,00 years,Female,0.0,0,543918
2005,01-04 years,Male and female,0.0,0,4391479
2005,01-04 years,Male,0.0,0,2242958
2005,01-04 years,Female,0.0,0,2148521
2005,05-09 years,Male and female,0.0,0,5298152
2005,05-09 years,Male,0.0,0,2709009
2005,05-09 years,Female,0.0,0,2589143
2005,10-14 years,Male and female,0.0,0,5852729
2005,10-14 years,Male,0.0,0,2998070
2005,10-14 years,Female,0.0,0,2854659
2005,15-19 years,Male and female,0.0,1,5771809
2005,15-19 years,Male,0.0,0,2976351
2005,15-19 years,Female,0.0,1,2795458
2005,20-24 years,Male and female,0.0,0,5669013
2005,20-24 years,Male,0.0,0,2932532
2005,20-24 years,Female,0.0,0,2736481
2005,25-29 years,Male and female,0.0,2,5422007
2005,25-29 years,Male,0.1,2,2744471
2005,25-29 years,Female,0.0,0,2677536
2005,30-34 years,Male and female,0.1,7,5445790
2005,30-34 years,Male,0.2,5,2747657
2005,30-34 years,Female,0.1,2,2698133
2005,35-39 years,Male and female,0.2,14,5729724
2005,35-39 years,Male,0.3,9,2874935
2005,35-39 years,Female,0.2,5,2854789
2005,40-44 years,Male and female,0.4,25,6091469
2005,40-44 years,Male,0.2,7,3032769
2005,40-44 years,Female,0.6,18,3058700
2005,45-49 years,Male and female,0.7,41,5898609
2005,45-49 years,Male,0.7,20,2919742
2005,45-49 years,Female,0.7,21,2978867
2005,50-54 years,Male and female,0.7,39,5208227
2005,50-54 years,Male,0.7,19,2551523
2005,50-54 years,Female,0.8,20,2656704
2005,55-59 years,Male and female,1.0,47,4486865
2005,55-59 years,Male,0.9,19,2176591
2005,55-59 years,Female,1.2,28,2310274
2005,60-64 years,Male and female,1.0,34,3273406
2005,60-64 years,Male,1.1,17,1565876
2005,60-64 years,Female,1.0,17,1707530
2005,65-69 years,Male and female,1.3,32,2510768
2005,65-69 years,Male,1.2,14,1172028
2005,65-69 years,Female,1.3,18,1338740
2005,70-74 years,Male and female,1.3,28,2076193
2005,70-74 years,Male,1.6,15,932171
2005,70-74 years,Female,1.1,13,1144022
2005,75-79 years,Male and female,1.4,25,1789269
2005,75-79 years,Male,2.4,18,754955
2005,75-79 years,Female,0.7,7,1034314
2005,80-84 years,Male and female,1.6,22,1371165
2005,80-84 years,Male,1.5,8,531586
2005,80-84 years,Female,1.7,14,839579
2005,85-89 years,Male and female,1.6,12,753128
2005,85-89 years,Male,1.9,5,256751
2005,85-89 years,Female,1.4,7,496377
2005,90+ years,Male and female,0.5,2,392108
2005,90+ years,Male,1.9,2,106255
2005,90+ years,Female,0.0,0,285853
2005,Unknown,Male and female,~,0,0
2005,Unknown,Male,~,0,0
2005,Unknown,Female,~,0,0
2006,00 years,Male and female,0.0,0,1110847
2006,00 years,Male,0.0,0,568184
2006,00 years,Female,0.0,0,542663
2006,01-04 years,Male and female,0.0,0,4376434
2006,01-04 years,Male,0.0,0,2235277
2006,01-04 years,Female,0.0,0,2141157
2006,05-09 years,Male and female,0.0,0,5301784
2006,05-09 years,Male,0.0,0,2710384
2006,05-09 years,Female,0.0,0,2591400
2006,10-14 years,Male and female,0.0,0,5787041
2006,10-14 years,Male,0.0,0,2963152
2006,10-14 years,Female,0.0,0,2823889
2006,15-19 years,Male and female,0.0,1,5868051
2006,15-19 years,Male,0.0,0,3022896
2006,15-19 years,Female,0.0,1,2845155
2006,20-24 years,Male and female,0.0,0,5661770
2006,20-24 years,Male,0.0,0,2935099
2006,20-24 years,Female,0.0,0,2726671
2006,25-29 years,Male and female,0.1,3,5567388
2006,25-29 years,Male,0.1,2,2815747
2006,25-29 years,Female,0.0,1,2751641
2006,30-34 years,Male and female,0.1,6,5321888
2006,30-34 years,Male,0.1,3,2685589
2006,30-34 years,Female,0.1,3,2636299
2006,35-39 years,Male and female,0.3,16,5752333
2006,35-39 years,Male,0.4,11,2882689
2006,35-39 years,Female,0.2,5,2869644
2006,40-44 years,Male and female,0.3,15,5992522
2006,40-44 years,Male,0.2,6,2987132
2006,40-44 years,Female,0.3,9,3005390
2006,45-49 years,Male and female,0.6,33,5968323
2006,45-49 years,Male,0.5,14,2956375
2006,45-49 years,Female,0.6,19,3011948
2006,50-54 years,Male and female,1.0,53,5336376
2006,50-54 years,Male,0.8,22,2616610
2006,50-54 years,Female,1.1,31,2719766
2006,55-59 years,Male and female,1.0,48,4694802
2006,55-59 years,Male,0.7,17,2276502
2006,55-59 years,Female,1.3,31,2418300
2006,60-64 years,Male and female,1.4,47,3384246
2006,60-64 years,Male,1.6,26,1618918
2006,60-64 years,Female,1.2,21,1765328
2006,65-69 years,Male and female,1.3,34,2575230
2006,65-69 years,Male,1.2,14,1203723
2006,65-69 years,Female,1.5,20,1371507
2006,70-74 years,Male and female,1.6,33,2084803
2006,70-74 years,Male,1.5,14,938020
2006,70-74 years,Female,1.7,19,1146783
2006,75-79 years,Male and female,1.3,24,1783499
2006,75-79 years,Male,1.6,12,758674
2006,75-79 years,Female,1.2,12,1024825
2006,80-84 years,Male and female,1.7,23,1374648
2006,80-84 years,Male,2.4,13,534419
2006,80-84 years,Female,1.2,10,840229
2006,85-89 years,Male and female,0.8,6,781985
2006,85-89 years,Male,1.9,5,269807
2006,85-89 years,Female,0.2,1,512178
2006,90+ years,Male and female,0.7,3,407513
2006,90+ years,Male,0.0,0,112178
2006,90+ years,Female,1.0,3,295335
2006,Unknown,Male and female,~,0,0
2006,Unknown,Male,~,0,0
2006,Unknown,Female,~,0,0
2007,00 years,Male and female,0.0,0,1147615
2007,00 years,Male,0.0,0,587420
2007,00 years,Female,0.0,0,560195
2007,01-04 years,Male and female,0.0,0,4392736
2007,01-04 years,Male,0.0,0,2245051
2007,01-04 years,Female,0.0,0,2147685
2007,05-09 years,Male and female,0.0,0,5330653
2007,05-09 years,Male,0.0,0,2724530
2007,05-09 years,Female,0.0,0,2606123
2007,10-14 years,Male and female,0.0,0,5724173
2007,10-14 years,Male,0.0,0,2931370
2007,10-14 years,Female,0.0,0,2792803
2007,15-19 years,Male and female,0.0,0,5957514
2007,15-19 years,Male,0.0,0,3066564
2007,15-19 years,Female,0.0,0,2890950
2007,20-24 years,Male and female,0.0,0,5675499
2007,20-24 years,Male,0.0,0,2941201
2007,20-24 years,Female,0.0,0,2734298
2007,25-29 years,Male and female,0.0,2,5675465
2007,25-29 years,Male,0.0,1,2870377
2007,25-29 years,Female,0.0,1,2805088
2007,30-34 years,Male and female,0.2,8,5290819
2007,30-34 years,Male,0.2,5,2667203
2007,30-34 years,Female,0.1,3,2623616
2007,35-39 years,Male and female,0.1,6,5744514
2007,35-39 years,Male,0.1,4,2877108
2007,35-39 years,Female,0.1,2,2867406
2007,40-44 years,Male and female,0.5,27,5877939
2007,40-44 years,Male,0.4,12,2928936
2007,40-44 years,Female,0.5,15,2949003
2007,45-49 years,Male and female,0.5,29,6000727
2007,45-49 years,Male,0.4,11,2973716
2007,45-49 years,Female,0.6,18,3027011
2007,50-54 years,Male and female,1.2,64,5490229
2007,50-54 years,Male,1.1,29,2693555
2007,50-54 years,Female,1.3,35,2796674
2007,55-59 years,Male and female,0.8,36,4707690
2007,55-59 years,Male,0.9,20,2280929
2007,55-59 years,Female,0.7,16,2426761
2007,60-64 years,Male and female,1.3,49,3681050
2007,60-64 years,Male,1.8,32,1763324
2007,60-64 years,Female,0.9,17,1917726
2007,65-69 years,Male and female,1.7,45,2677413
2007,65-69 years,Male,1.9,24,1253254
2007,65-69 years,Female,1.5,21,1424159
2007,70-74 years,Male and female,1.4,30,2106976
2007,70-74 years,Male,1.6,15,950576
2007,70-74 years,Female,1.3,15,1156400
2007,75-79 years,Male and female,1.7,31,1776135
2007,75-79 years,Male,1.6,12,760411
2007,75-79 years,Female,1.9,19,1015724
2007,80-84 years,Male and female,1.4,20,1380502
2007,80-84 years,Male,1.9,10,538940
2007,80-84 years,Female,1.2,10,841562
2007,85-89 years,Male and female,1.6,13,813268
2007,85-89 years,Male,2.8,8,284036
2007,85-89 years,Female,0.9,5,529232
2007,90+ years,Male and female,0.7,3,423202
2007,90+ years,Male,0.8,1,118192
2007,90+ years,Female,0.7,2,305010
2007,Unknown,Male and female,~,0,0
2007,Unknown,Male,~,0,0
2007,Unknown,Female,~,0,0
2008,00 years,Male and female,0.0,0,1147582
2008,00 years,Male,0.0,0,586398
2008,00 years,Female,0.0,0,561184
2008,01-04 years,Male and female,0.0,0,4440872
2008,01-04 years,Male,0.0,0,2270332
2008,01-04 years,Female,0.0,0,2170540
2008,05-09 years,Male and female,0.0,0,5395856
2008,05-09 years,Male,0.0,0,2757958
2008,05-09 years,Female,0.0,0,2637898
2008,10-14 years,Male and female,0.0,0,5676680
2008,10-14 years,Male,0.0,0,2905669
2008,10-14 years,Female,0.0,0,2771011
2008,15-19 years,Male and female,0.0,0,6013570
2008,15-19 years,Male,0.0,0,3094066
2008,15-19 years,Female,0.0,0,2919504
2008,20-24 years,Male and female,0.0,1,5711067
2008,20-24 years,Male,0.0,1,2953793
2008,20-24 years,Female,0.0,0,2757274
2008,25-29 years,Male and female,0.1,4,5774934
2008,25-29 years,Male,0.1,4,2926117
2008,25-29 years,Female,0.0,0,2848817
2008,30-34 years,Male and female,0.2,8,5332363
2008,30-34 years,Male,0.2,5,2688137
2008,30-34 years,Female,0.1,3,2644226
2008,35-39 years,Male and female,0.3,15,5700810
2008,35-39 years,Male,0.2,7,2850981
2008,35-39 years,Female,0.3,8,2849829
2008,40-44 years,Male and female,0.3,18,5780064
2008,40-44 years,Male,0.3,8,2883042
2008,40-44 years,Female,0.3,10,2897022
2008,45-49 years,Male and female,0.7,43,6021775
2008,45-49 years,Male,0.7,20,2982078
2008,45-49 years,Female,0.8,23,3039697
2008,50-54 years,Male and female,1.0,54,5626248
2008,50-54 years,Male,1.0,28,2764076
2008,50-54 years,Female,0.9,26,2862172
2008,55-59 years,Male and female,1.0,50,4811649
2008,55-59 years,Male,1.1,26,2330047
2008,55-59 years,Female,1.0,24,2481602
2008,60-64 years,Male and female,1.5,58,3858100
2008,60-64 years,Male,1.6,29,1850008
2008,60-64 years,Female,1.4,29,2008092
2008,65-69 years,Male and female,1.6,46,2834421
2008,65-69 years,Male,1.5,20,1328631
2008,65-69 years,Female,1.7,26,1505790
2008,70-74 years,Male and female,1.8,38,2154834
2008,70-74 years,Male,1.8,18,975719
2008,70-74 years,Female,1.7,20,1179115
2008,75-79 years,Male and female,2.0,35,1768353
2008,75-79 years,Male,2.1,16,761503
2008,75-79 years,Female,1.9,19,1006850
2008,80-84 years,Male and female,1.8,25,1385886
2008,80-84 years,Male,2.0,11,544183
2008,80-84 years,Female,1.7,14,841703
