outcome,AgeGroup,Stage,candidate_joinpoints,n_joinpoints,aic,bic,selected_by_bic,dispersion
Incidence,50-64,Overall,2010;2017,2,191.6592431774286,195.64217227164457,False,2.571987497256945
Incidence,50-64,Overall,2010;2018,2,190.2666708429149,194.24959993713085,False,2.4910709029106095
Incidence,50-64,Overall,2010;2019,2,188.63364346678384,192.6165725609998,False,2.4183038608332574
Incidence,50-64,Overall,2011;2015,2,200.19196988024464,204.1748989744606,False,3.1270575394584634
Incidence,50-64,Overall,2011;2016,2,196.43188862051636,200.41481771473232,False,2.876830968816992
Incidence,50-64,Overall,2011;2017,2,192.20337339971604,196.186302493932,False,2.6041882795222304
Incidence,50-64,Overall,2011;2018,2,190.9062705328579,194.88919962707385,False,2.529708555863657
Incidence,50-64,Overall,2011;2019,2,189.32966316562158,193.31259225983754,False,2.460530533522129
Incidence,50-64,Overall,2012;2016,2,196.76326004430246,200.74618913851842,False,2.89549622284107
Incidence,50-64,Overall,2012;2017,2,192.4066053019651,196.38953439618106,False,2.6149604297239346
Incidence,50-64,Overall,2012;2018,2,191.26272941675006,195.24565851096602,False,2.5509088604334695
Incidence,50-64,Overall,2012;2019,2,189.7749996945896,193.75792878880557,False,2.487546518142978
Incidence,50-64,Overall,2013;2017,2,192.69643474140344,196.6793638356194,False,2.6284028762992167
Incidence,50-64,Overall,2013;2018,2,191.70292164536806,195.68585073958403,False,2.5754562334237012
Incidence,50-64,Overall,2013;2019,2,190.27722821533223,194.2601573095482,False,2.5163610958756415
Incidence,50-64,Overall,2014;2018,2,191.1965166635879,195.17944575780385,False,2.546528741259929
Incidence,50-64,Overall,2014;2019,2,190.09531697766272,194.07824607187868,False,2.508842533523186
Incidence,50-64,Overall,2015;2019,2,189.66706117825322,193.64999027246918,False,2.48824954638749
Incidence,50-64,Regional,None,0,164.41832008777322,166.40978463488122,False,2.7024342631749114
Incidence,50-64,Regional,2008,1,164.35783692265474,167.34503374331672,False,2.70744614961237
Incidence,50-64,Regional,2009,1,162.1199226571029,165.10711947776488,False,2.548147648468096
Incidence,50-64,Regional,2010,1,159.5568031322428,162.54399995290478,False,2.3776946550454396
Incidence,50-64,Regional,2011,1,158.47256946806272,161.4597662887247,False,2.311219060894401
Incidence,50-64,Regional,2012,1,155.62268835583745,158.60988517649943,False,2.1133691663930487
Incidence,50-64,Regional,2013,1,153.23828037236348,156.22547719302545,False,1.952322696704663
Incidence,50-64,Regional,2014,1,152.10391935856546,155.09111617922744,False,1.8758668637664584
Incidence,50-64,Regional,2015,1,150.71594008343993,153.7031369041019,False,1.7860278962011253
Incidence,50-64,Regional,2016,1,150.135040385639,153.12223720630098,False,1.7534629103308879
Incidence,50-64,Regional,2017,1,148.73430849609923,151.7215053167612,False,1.6694001668389826
Incidence,50-64,Regional,2018,1,148.38590774666181,151.3731045673238,False,1.6606760578619633
Incidence,50-64,Regional,2019,1,146.42211060209166,149.40930742275364,True,1.5519040501353825
Incidence,50-64,Regional,2008;2012,2,153.34348582446114,157.3264149186771,False,1.9711177259656758
