outcome,AgeGroup,Stage,candidate_joinpoints,n_joinpoints,aic,bic,selected_by_bic,dispersion
Incidence,20-49,Distant,2013;2019,2,130.57775993345288,134.35551585011865,False,1.0
Incidence,20-49,Distant,2014;2018,2,132.494412059987,136.27216797665278,False,1.0
Incidence,20-49,Distant,2014;2019,2,132.0036567475583,135.78141266422406,False,1.0
Incidence,20-49,Distant,2015;2019,2,132.82746140183497,136.60521731850073,False,1.0034410197570984
Incidence,20-49,Localized,None,0,111.40149194679604,113.29036990512893,True,1.0
Incidence,20-49,Localized,2008,1,113.38501764866943,116.21833458616875,False,1.0
Incidence,20-49,Localized,2009,1,113.33306615780111,116.16638309530043,False,1.0
Incidence,20-49,Localized,2010,1,112.97341591521943,115.80673285271875,False,1.0
Incidence,20-49,Localized,2011,1,113.04864027622924,115.88195721372855,False,1.0
Incidence,20-49,Localized,2012,1,113.05475735717513,115.88807429467445,False,1.0
Incidence,20-49,Localized,2013,1,112.93822884276469,115.771545780264,False,1.0
Incidence,20-49,Localized,2014,1,112.73748339151737,115.57080032901669,False,1.0
Incidence,20-49,Localized,2015,1,112.50030515222932,115.33362208972864,False,1.0
Incidence,20-49,Localized,2016,1,112.53596124223336,115.36927817973267,False,1.0
Incidence,20-49,Localized,2017,1,112.17920095187607,115.01251788937539,False,1.0
Incidence,20-49,Localized,2018,1,111.94051165028462,114.77382858778394,False,1.0
Incidence,20-49,Localized,2019,1,111.57062466223476,114.40394159973408,False,1.0
Incidence,20-49,Localized,2008;2012,2,114.70654215343076,118.48429807009651,False,1.0
Incidence,20-49,Localized,2008;2013,2,114.60505439567878,118.38281031234453,False,1.0
Incidence,20-49,Localized,2008;2014,2,114.37233413435519,118.15009005102095,False,1.0
Incidence,20-49,Localized,2008;2015,2,114.11919316303494,117.8969490797007,False,1.0
Incidence,20-49,Localized,2008;2016,2,114.27791800338831,118.05567392005406,False,1.0
Incidence,20-49,Localized,2008;2017,2,113.88904609383663,117.66680201050238,False,1.0
Incidence,20-49,Localized,2008;2018,2,113.67627552803152,117.45403144469728,False,1.0
Incidence,20-49,Localized,2008;2019,2,113.30790397764326,117.08565989430903,False,1.0
Incidence,20-49,Localized,2009;2013,2,114.64509357355391,118.42284949021968,False,1.0
Incidence,20-49,Localized,2009;2014,2,114.40430271484787,118.18205863151363,False,1.0
